INPUT,,MONOISOTOPIC_MASS,BIOCONCENTRATION_FACTOR_TEST_PRED,BOILING_POINT_DEGC_TEST_PRED,48HR_DAPHNIA_LC50_MOL/L_TEST_PRED,DENSITY_G/CM^3_TEST_PRED,DEVTOX_TEST_PRED,96HR_FATHEAD_MINNOW_MOL/L_TEST_PRED,FLASH_POINT_DEGC_TEST_PRED,MELTING_POINT_DEGC_TEST_PRED,AMES_MUTAGENICITY_TEST_PRED,ORAL_RAT_LD50_MOL/KG_TEST_PRED,SURFACE_TENSION_DYN/CM_TEST_PRED,THERMAL_CONDUCTIVITY_MW/(M*K)_TEST_PRED,TETRAHYMENA_PYRIFORMIS_IGC50_MOL/L_TEST_PRED,VISCOSITY_CP_CP_TEST_PRED,VAPOR_PRESSURE_MMHG_TEST_PRED,WATER_SOLUBILITY_MOL/L_TEST_PRED,ATMOSPHERIC_HYDROXYLATION_RATE_(AOH)_CM3/MOLECULE*SEC_OPERA_PRED,BIOCONCENTRATION_FACTOR_OPERA_PRED,BIODEGRADATION_HALF_LIFE_DAYS_DAYS_OPERA_PRED,BOILING_POINT_DEGC_OPERA_PRED,HENRYS_LAW_ATM-M3/MOLE_OPERA_PRED,OPERA_KM_DAYS_OPERA_PRED,OCTANOL_AIR_PARTITION_COEFF_LOGKOA_OPERA_PRED,SOIL_ADSORPTION_COEFFICIENT_KOC_L/KG_OPERA_PRED,OCTANOL_WATER_PARTITION_LOGP_OPERA_PRED,MELTING_POINT_DEGC_OPERA_PRED,VAPOR_PRESSURE_MMHG_OPERA_PRED,WATER_SOLUBILITY_MOL/L_OPERA_PRED
Terbutryn,72,241.13612,10,-,4.00E-05,1.228,7.20E-01,6.44E-05,187.098,95.512,0.408,0.0076208,-,-,-,-,8.57E-07,3.38E-04,1.56E-11,14.4783,3.36382,3.39E+02,2.32E-08,0.144713,9.11799,707.383,3.5607,1.04E+02,1.69E-06,0.0001033
Tetrachlorvinfos,65,363.89926,598.412,3.44E+02,4.44E-08,1.524,8.58E-01,4.63E-07,259.953,55.986,0.273,0.003155,-,-,0.000263,1.51E+01,4.70E-06,7.45E-05,1.79E-11,40.8245,3.67981,3.79E+02,6.44E-09,0.0957348,9.74889,1023.57,3.53094,9.62E+01,4.29E-08,3.06E-05
Thiacloprid,91.8,252.02365,-,-,1.58E-05,1.163,-0.044,-,130.049,104.782,0.845,0.0036983,-,-,-,-,-,1.32E-02,1.53E-11,21.9921,3.53448,3.21E+02,3.18E-09,0.43088,8.17322,311.59,0.922488,1.40E+02,1.24E-07,0.0007247
Thiamethoxam,63.1,291.01929,-,-,-,1.808,1.036,-,215.815,145.746,0.998,0.003656,-,-,-,-,-,7.33E-03,1.39E-11,16.0938,4.44664,2.78E+02,2.33E-08,1.12466,7.38,119.597,-0.119138,1.57E+02,1.54E-06,0.01393
Thiamphenicol,92.2,355.0048,0.872971,418.543,0.0004093,1.544,9.92E-01,1.41E-05,293.792,154.571,0.099,0.008995,-,-,-,-,1.09E-08,8.79E-03,1.93E-11,1.43581,2.92543,3.86E+02,1.50E-11,0.136365,9.27022,140.858,-0.270016,1.65E+02,3.35E-10,0.0008891
Thiocyclam,42.8,181.00536,17.4582,2.32E+02,3.24E-05,1.105,7.44E-01,8.00E-05,92.973,64.204,0.133,0.0039537,34.61,-,-,-,0.0826038,1.23E-02,2.14E-11,17.0976,137.312,2.45E+02,1.38E-05,0.255487,6.09328,60.1044,1.51845,86.1438,0.0047964,0.166949
Thiodicarb,47.1,354.04902,2.76694,-,5.69E-07,1.384,-7.45E-01,9.71E-06,206.104,92.64,0.959,0.0005309,-,-,-,-,1.42E-06,4.96E-04,1.67E-11,11.4091,4.27612,3.31E+02,2.36E-09,0.627297,9.71956,347.101,1.70163,1.73E+02,6.99E-05,7.78E-05
Triadimefon,70.4,293.0931,75.8578,3.32E+02,4.35E-05,1.296,4.09E-01,3.17E-05,223.666,109.274,0.242,0.0024044,-,-,-,-,8.34E-08,3.32E-04,1.37E-11,102.831,5.32299,3.50E+02,6.88E-09,0.145412,8.95547,513.823,2.7706,8.21E+01,1.51E-08,0.000245
Triadimenol,87.2,295.10875,47.0977,3.39E+02,4.46E-05,1.293,4.89E-01,3.70E-05,232.566,122.508,0.185,0.0068865,-,-,-,-,1.59E-07,2.67E-04,1.66E-11,111.055,3.36074,3.22E+02,2.97E-08,0.998513,10.1809,502.024,2.90124,1.24E+02,3.14E-10,0.0003134
Triasulfuron,81.8,401.05607,1.5417,-,-,1.545,1.197,-,313.983,187.917,0.357,0.0174985,-,-,-,-,1.47E-11,2.29E-04,1.39E-11,11.165,4.27448,2.65E+02,8.18E-11,0.160697,9.57664,104.672,1.10231,1.86E+02,1.65E-11,0.0002356
Triazophos,77.3,313.065,32.5087,-,2.82E-07,1.303,5.29E-01,1.17E-05,203.614,21.335,0.425,0.0002911,-,-,-,-,1.68E-06,8.00E-05,1.63E-11,20.2626,4.74567,3.35E+02,3.82E-07,3.41231,10.1374,163.444,3.34084,3.60E+00,2.91E-06,0.0001055
Triazoxid,59,247.02609,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.97E-11,4.80274,3.35102,2.75E+02,2.22E-08,0.199541,7.3265,234.382,2.03872,1.82E+02,2.25E-09,0.0001391
Trichlorfon,86.9,255.92258,2.35505,2.44E+02,3.33E-07,1.561,0.633,0.0005649,137.035,15.966,0.341,0.0018365,32.566,140.873,-,11.298,0.0143219,4.55E-02,1.95E-11,1.03139,4.13785,2.91E+02,1.47E-07,0.185821,9.23857,79.0365,0.511388,7.70E+01,7.85E-06,0.515308
Triclocarban,34.9,313.97805,102.094,4.03E+02,2.68E-06,1.506,7.25E-01,1.01E-06,199.15,182.97,0.283,0.0028379,-,-,-,-,1.08E-09,2.36E-06,9.93E-12,562.301,5.57685,2.90E+02,8.40E-10,1.05374,9.41392,4079.74,4.66646,2.56E+02,3.68E-09,3.14E-05
Trietazine,64.5,229.10942,13.122,3.07E+02,6.61E-05,1.202,0.714,0.0001009,177.015,131.045,0.226,0.0042073,-,154.627,0.0003126,-,1.77E-06,4.25E-04,1.46E-11,13.4095,3.65376,3.27E+02,6.99E-08,0.521807,10.3641,574.487,3.33964,1.01E+02,2.04E-06,8.72E-05
Trifloxystrobin,30.2,408.12969,83.1764,-,3.72E-06,-,0.886,-,-,48.674,0.189,0.0014555,-,-,-,-,1.09E-05,4.48E-06,1.93E-11,99.1657,4.46383,3.58E+02,1.22E-08,1.76474,9.58268,33247.9,4.49778,1.01E+02,2.70E-08,1.48E-06
Triflumizole,27.1,345.08557,145.881,3.45E+02,4.53E-06,1.303,6.23E-01,3.74E-06,229.167,97.891,0.274,0.0011967,-,-,-,-,3.72E-07,4.28E-05,1.06E-11,64.8958,4.63339,3.50E+02,2.47E-07,0.700993,8.84674,1534.77,1.40364,6.35E+01,1.40E-06,0.0010398
Triflumuron,56.1,358.0332,9.66051,4.29E+02,3.20E-06,1.534,1.08E+00,2.17E-06,246.392,182.931,0.417,0.0050933,-,-,-,-,8.73E-09,7.21E-06,1.38E-11,50.789,3.55253,2.73E+02,1.48E-10,0.185033,9.41682,1116.27,4.90733,1.95E+02,3.01E-10,8.93E-08
Trifluralin,18.8,335.10929,149.624,3.69E+02,6.07E-06,1.409,1.15E+00,6.24E-07,161.745,68.678,0.445,0.0136773,-,-,7.15E-06,-,2.92E-06,2.00E-06,1.39E-11,2279.43,3.54656,365.044,0.0001027,4.15594,8.41432,15764.7,5.3382,4.98E+01,4.60E-05,8.50E-07
Trinexapac-ethyl,61.2,252.09977,5.71479,324.297,0.0003837,1.394,8.38E-01,8.36E-06,214.143,130.823,0.804,0.0053456,32.594,-,-,-,8.47E-07,5.92E-04,5.93E-11,2.09865,3.34186,3.06E+02,1.30E-08,0.489446,7.87499,102.879,1.59989,3.63E+01,1.61E-05,0.0006766
Tylosin,110,915.51915,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.50E-11,5.01444,13.6689,4.65E+02,1.34E-10,0.335379,9.56611,31497.4,1.63207,1.41E+02,8.72E-10,0.0001741
Theophylline,93.7,180.06473,1.19124,376.497,0.0010839,1.416,0.881,0.0100462,217.021,216.811,0.191,0.0007907,-,-,-,-,2.06E-06,1.92E-02,5.99E-12,2.18329,4.27333,3.27E+02,2.74E-09,0.0847656,10.6206,37.6826,-0.020585,2.73E+02,4.57E-06,0.0416881
Theobromine,116,180.06473,0.63387,343.174,0.001714,1.432,0.723,0.0116681,212.816,187.873,0.382,0.0024547,-,-,-,-,2.32E-07,3.01E-02,5.98E-12,1.88873,4.63114,2.65E+02,2.77E-09,0.0847389,10.4289,71.4652,-0.774262,3.57E+02,9.63E-06,0.0021339
TCPP,52.7,326.00083,13.5831,3.12E+02,5.41E-08,1.336,4.47E-01,1.82E-05,210.48,-22.442,0.872,0.0020606,34.209,130.547,0.000561,4.0738,0.0002786,1.46E-03,2.35E-11,5.06063,4.13841,2.83E+02,2.62E-07,0.146364,8.84716,157.922,2.94921,-39.7576,0.0036477,0.0012748
Triethyl phosphate,62.7,182.0708,4.13048,2.10E+02,2.38E-07,1.039,0.706,0.000369,88.548,-41.107,0.563,0.0008995,28.959,140.093,0.0049317,2.51768,0.0889201,9.20E-01,5.52E-11,1.28887,4.90451,2.15E+02,3.62E-08,0.0813037,5.78968,60.5996,0.800133,-56.38,0.391431,2.69531
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotinine,90,176.09496,2.46604,279.705,0.0002382,1.097,0.642,0.0011324,149.54,64.691,0.336,0.0026363,-,148.019,0.0023442,34.9945,0.0009441,3.70E-02,5.48E-12,3.05268,3.3506,2.83E+02,1.11E-07,0.0834953,6.74838,79.5533,0.0716017,41.2205,0.0002722,0.315811
Nicotine,42.5,162.1157,11.995,244.899,0.0001542,1.016,0.645,0.0010641,97.941,30.758,0.047,0.0053088,37.655,143.221,0.0015171,7.2778,0.02208,8.00E-02,4.32E-11,5.20978,3.36233,2.47E+02,2.76E-05,5.7146,5.80568,102.389,1.17111,-78.6654,0.0375479,6.15336
Bisphenol A,NR,228.11503,117.22,3.60E+02,6.92E-06,1.195,7.11E-01,1.42E-05,188.141,124.909,0.086,0.0179887,-,1.50E+02,2.32E-05,9.66E+00,2.59E-06,1.24E-03,1.64E-11,43.6523,15.145,3.43E+02,1.25E-07,1.85933,8.38031,1436.23,3.32044,1.53E+02,6.78E-08,0.0007452
N-nitrosodiethylamine,37.2,102.07931,2.66073,189.027,0.000673,1.01,0.655,0.003767,67.419,23.981,0.995,0.0017378,32.695,-,-,-,-,5.68E-01,1.09E-12,8.51908,4.5917,1.77E+02,3.70E-06,0.227733,2.2599,39.4479,0.479734,22.2406,0.864964,1.04504
N-nitrosomorpholine,19.9,116.05858,1.84502,206.57,0.0059293,1.203,0.703,0.0082985,92.298,34.662,0.943,0.0036644,36.677,-,-,-,-,2.05E+00,1.12E-12,1.19524,3.67641,2.25E+02,1.35E-06,0.114431,3.14144,41.614,-0.440081,29.1293,3.12537,8.62186
N-nitrosopiperidine,55.1,114.07931,2.98538,212.985,0.0008531,1.13,0.355,0.0014928,92.397,33.814,0.919,0.005212,35.799,-,-,-,-,5.19E-01,1.84E-12,3.2097,4.07122,2.19E+02,8.71E-06,0.112694,3.26238,58.5146,0.361251,47.919,0.491219,0.67607
N-nitrosopyrrolidine,17.9,100.06366,3.31131,203.231,0.0005848,1.123,0.694,0.0020701,81.941,39.863,0.97,0.0048529,36.353,-,-,-,-,1.75E+00,1.03E-12,2.38756,3.68347,2.14E+02,1.16E-05,0.104041,2.79626,49.089,-0.187403,92.4522,0.0611462,9.81569
PFHpA,70.7,363.9769,179.473,183.158,0.0002138,1.677,-,1.82E-05,60.1,-0.077,-,0.0006081,12.175,68.001,-,-,6.00E-01,1.18E-05,8.53E-13,4.98124,4.46934,1.77E+02,2.10E-10,0.635419,4.0867,2112.45,2.05938,35.2578,0.0667766,0.319425
Perfluorooctanoic acid,39.7,413.9737,217.27,1.92E+02,8.40E-05,1.704,-,1.13E-05,73.892,-8.692,-,0.0004256,-,65.258,-,-,3.45E-01,4.73E-06,8.47E-13,4.96385,4.94317,1.89E+02,1.92E-10,1.34452,4.15594,1668.68,3.10642,54.2153,0.11083,0.0332134
Perfluorooctanesulfonic acid,40.4,499.93749,922.571,243.952,-,1.85,-,1.82E-06,-,15.158,-,-,-,-,-,-,-,4.72E-06,2.01E-15,5.90952,4.92469,2.19E+02,1.80E-11,2.66175,4.74771,354.431,5.60926,1.85E+02,2.48E-06,0.000817
Perfluorononanoic acid,47,463.97051,325.087,199.597,-,1.804,-,2.92E-06,74.008,4.708,-,0.0003767,-,62.293,-,-,6.75E-02,1.91E-06,8.41E-13,4.95048,4.9418,1.90E+02,1.18E-09,2.5965,4.19974,2832.61,3.53773,68.5126,0.0084368,0.002821
Perfluorodecanoic acid,35,513.96731,518.8,206.967,-,1.819,-,7.00E-07,79.581,5.981,-,0.0009311,-,59.455,-,-,0.042658,-,8.36E-13,29.8483,4.94078,2.05E+02,1.50E-10,2.8076,4.28187,397.147,4.15089,89.9515,0.0014646,0.0022504
Perfluoroundecanoic acid,41.2,563.96412,809.096,219.543,-,1.846,-,-,91.283,-2.309,-,0.0007943,-,57.674,-,-,0.0295121,-,8.32E-13,33.7745,4.94024,2.18E+02,3.34E-10,2.93421,4.69615,16613.8,4.00255,98.5183,0.0006477,0.0001641
Tributyl phosphate,70.1,266.1647,8.26038,2.81E+02,1.08E-07,0.99,3.54E-01,2.70E-05,162.615,-59.452,0.08,0.0151705,28.548,147.733,0.0007413,4.87528,0.000175,3.13E-03,1.85E-11,29.5118,3.67991,2.89E+02,1.12E-06,0.173818,7.877,264.326,3.99711,-78.919,0.0011358,0.0010548
Amphetamine,58.4,135.1048,8.37529,2.05E+02,5.59E-05,0.95,0.695,0.0003981,86.49,51.536,0.235,0.0068865,31.443,153.737,0.0013062,2.8774,0.0498884,4.73E-02,2.06E-11,8.35844,2.65046,2.03E+02,2.70E-06,0.130612,6.83787,60.6519,1.76037,32.6354,0.238654,0.133439
Bendroflumethiazide,41,421.03778,1.60694,-,-,1.607,1.018,-,332.675,226.879,-,0.0031405,-,-,-,-,3.17E-10,4.86E-04,1.39E-11,2.45595,4.48448,2.55E+02,2.16E-11,0.426829,9.25093,36.5901,1.54064,2.22E+02,8.39E-11,0.0002565
Benzoylecgonine,82,289.13141,-,371.934,0.0001265,1.286,9.78E-01,8.28E-06,264.059,126.966,0.044,-,42.933,142.495,0.0001538,7.73E+01,1.51E-07,4.83E-03,1.74E-11,2.88532,3.35404,3.19E+02,7.95E-09,0.727807,10.6542,645.54,2.61342,1.43E+02,2.76E-07,0.0072581
Chlorothiazide,96.6,294.94883,0.899498,-,-,1.909,0.958,-,308.958,249.903,0.095,-,-,-,-,-,2.05E-09,2.55E-03,8.03E-12,2.28003,11.0863,2.55E+02,1.94E-10,0.168916,8.09611,95.6272,-0.239686,2.21E+02,1.16E-10,0.0008976
Cocaine,88,303.14706,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.82E-11,6.98529,4.25653,3.32E+02,2.27E-08,0.437262,8.6604,1142.4,2.29947,9.80E+01,1.92E-07,0.0057335
EDDP,31.3,277.18305,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.00E-11,544.283,7.37555,3.63E+02,2.05E-07,6.78466,9.78149,5442.9,4.45187,1.22E+02,2.95E-05,2.32E-06
Ephedrine,58,165.11536,11.722,252.619,0.0001175,1.016,0.841,0.0006699,102.38,49.298,0.178,0.0071945,35.94,165.767,0.001652,16.1436,0.0026062,7.08E-02,1.56E-11,5.5859,3.32406,2.55E+02,1.14E-07,0.110967,7.84948,128.506,1.49366,90.4497,0.0275509,0.366039
Ethylmorphine,45.4,313.16779,108.643,4.40E+02,2.99E-05,1.279,9.22E-01,4.02E-06,200.019,157.704,0.195,0.0006252,-,-,-,-,4.28E-09,2.02E-03,3.05E-11,15.5859,143.299,3.32E+02,8.09E-09,2.06545,10.9839,80882.5,1.64504,1.99E+02,3.16E-09,0.0083322
Ethylamphetamine,10.8,163.1361,14.4212,228.653,0.0001167,0.9,0.613,0.0002234,97.065,11.539,0.188,0.0024155,31.966,142.443,0.0003491,4.1783,0.0033037,8.22E-03,1.84E-11,148.193,3.29855,2.22E+02,6.04E-06,0.498572,7.71549,100.287,2.60103,-5.97819,0.025767,0.0066691
Ketamine,52.9,237.09204,13.4896,3.33E+02,9.38E-05,1.123,7.64E-01,2.66E-05,161.989,137.778,-,0.0039355,40.32,1.45E+02,6.90E-05,6.12E+00,2.24E-06,1.24E-03,1.56E-11,40.3312,3.94379,3.12E+02,1.10E-09,0.485981,9.54587,201.421,2.1891,9.25E+01,1.77E-05,0.709206
MDA,55.4,179.09463,14.1579,2.67E+02,3.71E-05,1.133,0.699,0.0002046,121.002,46.473,0.212,0.0054828,-,151.541,0.0004898,6.9024,0.0001841,7.18E-03,1.81E-11,7.5718,3.33844,2.88E+02,7.09E-10,0.124188,8.525,172.217,1.64092,102.184,0.0002285,0.0148467
MDEA,50.9,119.09463,0.835603,243.746,0.0043752,1.06,0.334,0.0570164,121.065,1.511,0.042,0.0283792,39.746,198.967,0.0695024,19.2752,0.0048641,6.01E+00,2.88E-11,3.91084,4.12174,2.47E+02,2.96E-09,0.0785275,7.36356,36.1574,-1.7003,-20.998,0.0002016,8.39216
MDMA,70,193.11028,13.0918,2.80E+02,6.00E-05,1.09,0.663,0.0001306,120.847,58.685,0.23,0.0049545,37.761,145.384,0.000455,7.14E+00,8.87E-05,2.84E-03,1.43E-11,7.99582,3.35627,2.85E+02,1.16E-09,0.124924,8.57584,227.145,2.14764,7.54E+01,1.06E-05,0.0115727
Methadone,61,309.20926,192.309,3.45E+02,1.46E-05,0.987,5.72E-01,1.27E-05,160.581,77.815,-0.044,0.0004446,39.375,1.43E+02,1.20E-05,-,1.75E-06,5.64E-05,2.80E-11,232.745,3.64651,3.53E+02,9.64E-09,1.04368,9.94088,2992.57,3.92968,1.24E+02,1.04E-06,2.44E-05
Methamphetamine,44.1,149.12045,12.1899,2.11E+02,9.95E-05,0.902,0.771,0.0003076,83.274,25.224,0.198,0.0016406,32.279,143.416,0.000867,3.41193,0.0893305,6.49E-02,1.72E-11,28.1204,3.28899,2.08E+02,2.62E-06,0.264186,7.1924,120.486,2.07213,-24.3839,0.0376563,0.031976
Morphine,86.6,285.13649,71.2853,4.30E+02,5.09E-05,1.4,9.15E-01,4.31E-06,218.074,199.186,0.366,0.0007345,-,-,-,-,2.40E-09,4.66E-03,3.00E-11,52.5962,147.101,3.85E+02,7.57E-11,1.5876,9.18142,206853,0.891859,2.55E+02,2.02E-09,0.0005257
Phenylephrine,46,167.09463,2.77971,273.998,0.0001426,1.157,0.778,0.0012503,135.801,120.641,0.308,0.0018793,38.889,192.079,0.0019999,23.4423,0.0002655,5.86E-02,1.85E-11,6.37433,2.9285,2.48E+02,2.97E-09,0.117716,8.12302,95.2,-0.309362,1.61E+02,1.48E-05,0.230187
11-nor-9-carboxy-THC,74.4,344.19876,26.1216,4.05E+02,2.28E-06,1.171,9.53E-01,3.33E-07,199.8,169.047,0.073,0.0023714,-,1.38E+02,3.65E-06,-,1.60E-09,4.11E-05,3.30E-11,8.7444,55.6469,3.76E+02,2.51E-10,0.314361,9.39589,29101.2,4.55595,1.85E+02,1.32E-09,0.0001021
4-Aminoantipyrine,46.1,203.10586,2.99226,-,5.79E-05,1.183,0.793,0.0011561,130.299,131.89,0.269,0.0041976,-,-,-,-,5.45E-07,1.67E-02,1.97E-11,2.21323,3.34279,3.32E+02,2.71E-09,0.0919742,8.38913,215.399,2.9693,1.09E+02,5.24E-05,1.43445
Ampicillin,62.4,349.10963,0.43451,4.73E+02,6.07E-05,1.466,-9.00E-03,3.45E-06,357,218.015,-0.025,0.0148594,-,-,-,-,5.07E-11,4.79E-03,2.35E-11,2.96937,34.8852,3.31E+02,1.52E-11,0.195249,9.34395,86.8972,1.34848,1.67E+02,1.63E-10,0.028782
"4-Androsten-3,17-dione",52.8,286.19328,84.3335,3.58E+02,3.24E-05,1.106,9.58E-01,8.00E-06,180.792,152.417,-0.062,0.0168267,43.998,-,1.32E-06,-,4.41E-07,6.50E-05,4.91E-11,53.4693,95.3225,3.47E+02,4.71E-06,2.70628,9.1584,539108,2.75184,1.58E+02,6.06E-08,0.0002031
Antipyrine,75.2,188.09496,12.0504,-,0.0001023,1.103,0.928,0.000309,119.359,99.319,0.212,0.0054702,-,-,-,-,7.93E-05,1.17E-02,2.79E-11,11.9592,3.35513,3.19E+02,2.66E-06,0.185891,6.33153,111.756,0.310658,113.837,0.0031457,0.879318
Atenolol,85.5,266.16304,2.208,384.93,0.0001698,1.109,0.512,0.0002148,236.573,146.344,0.008,0.0089537,-,197.387,0.0003357,2.04E+02,2.78E-08,2.01E-02,1.99E-11,1.42129,3.52944,2.97E+02,3.08E-10,0.200547,9.22784,302.377,0.159637,1.47E+02,1.10E-09,0.0525232
Atropine,63.8,289.16779,-,3.54E+02,5.36E-05,1.188,8.52E-01,1.75E-05,217.584,94.788,0.064,0.0010163,43.85,148.605,0.0002564,5.15E+01,1.94E-07,8.95E-03,1.98E-11,4.33577,3.35401,3.33E+02,4.11E-10,0.824577,10.6246,1242.03,1.83094,1.14E+02,4.37E-07,0.0074214
Bezafibrate,68.8,361.10809,5.09331,4.81E+02,4.42E-05,1.317,7.00E-01,2.16E-06,302.57,184.062,0.03,0.004592,-,-,1.13E-05,-,8.19E-09,2.82E-05,1.74E-11,6.72481,3.53465,3.05E+02,2.26E-11,0.130873,9.45928,13925.5,3.76383,1.86E+02,8.47E-11,1.58E-05
Carbadox,63.6,262.0702,-,-,-,-,0.925,-,212.699,253.047,0.925,-,-,-,-,-,-,9.93E-03,1.07E-11,2.14027,4.4664,3.22E+02,2.04E-08,0.502475,8.4125,193.002,1.66409,2.40E+02,3.54E-08,0.0008301
Carbamazepine,64.5,236.09496,26.6073,3.84E+02,1.51E-05,1.224,0.792,-,217.22,194.961,0.428,0.0068707,-,-,-,2.05E+01,3.22E-08,2.55E-05,1.52E-11,14.9029,6.54384,3.20E+02,2.24E-10,0.660132,11.0047,543.762,2.44874,1.90E+02,6.27E-10,0.0004903
Cefotaxime,64.8,455.05694,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.49E-11,3.51324,14.6188,3.20E+02,1.67E-11,0.323168,9.43606,47.5747,0.293081,1.76E+02,1.64E-09,0.0011981
Chloramphenicol,75,322.01233,0.662216,423.194,0.0001837,1.526,9.50E-01,4.99E-06,316.751,149.443,0.538,0.0145546,-,173.593,0.0001014,1.09E+02,1.12E-09,5.81E-03,1.89E-11,1.97896,4.36522,3.17E+02,1.23E-10,0.199968,9.23787,115.578,1.13925,1.51E+02,2.13E-11,0.0077331
Chlortetracycline,8.7,478.11429,1.37088,6.26E+02,7.41E-06,1.778,8.77E-01,6.61E-07,415.164,264.344,0.631,0.0034198,-,-,-,-,5.50E-16,6.65E-04,8.27E-11,1.8553,147.943,3.88E+02,1.27E-11,0.40092,9.46074,1518.74,-0.619541,1.69E+02,6.07E-10,0.0012865
Cimetidine,46.2,252.11572,-,-,0.0005047,1.237,-0.069,-,149.357,130.992,0.875,0.0025004,-,-,-,-,-,2.68E-02,1.64E-11,2.30835,3.53889,3.27E+02,6.75E-10,0.329129,9.20857,153.765,0.399556,1.42E+02,1.03E-09,0.0356571
Ciprofloxacin,5.9,331.13322,10.9648,4.06E+02,8.57E-06,1.374,1.09E+00,5.78E-07,290.407,236.56,0.623,0.013122,-,-,-,-,8.77E-10,2.27E-04,2.29E-11,2.89642,3.35431,3.48E+02,9.24E-12,0.163646,9.43408,305.488,0.280064,2.24E+02,6.72E-10,0.0065758
Clarithromycin,60.7,747.47689,-,542.703,0.0001119,1.157,-,-,475.161,112.492,0.01,0.0047753,-,-,-,-,2.09E-15,3.84E-04,8.24E-11,4.08089,15.2345,4.33E+02,9.48E-11,0.533134,9.51987,45348.9,3.15975,1.44E+02,8.55E-11,0.0010226
Clenbuterol,76.2,276.07962,31.1172,3.55E+02,9.98E-06,1.251,5.16E-01,1.89E-05,205.219,142.326,0.097,0.0035645,-,1.79E+02,4.59E-05,4.94E+01,8.22E-08,1.40E-04,1.65E-11,95.5519,3.99475,3.43E+02,3.45E-11,0.176137,8.53483,183.39,1.10726,147.673,0.000182,0.0004081
Clofibric acid,86,214.03967,4.53942,311.563,0.0001574,1.292,0.664,0.0001535,158.542,114.798,0.046,0.0036813,41.016,141.772,0.0002904,9.66E+00,1.99E-05,3.69E-03,1.43E-11,3.82849,3.54835,2.94E+02,1.66E-09,0.0705594,8.58311,86.588,2.57405,1.18E+02,1.77E-05,0.0055722
Cloxacillin,83.2,435.06557,3.01301,5.37E+02,9.82E-06,1.571,5.60E-02,2.39E-07,372.123,233.142,-0.007,0.0094189,-,-,-,-,9.51E-12,5.55E-05,1.79E-11,7.44608,35.4534,3.34E+02,9.53E-12,0.151464,9.6411,275.82,2.48028,1.70E+02,5.21E-11,3.15E-05
Codeine,60,299.15214,110.154,4.28E+02,4.57E-05,1.32,9.52E-01,5.19E-06,223.573,166.884,0.195,0.0006998,-,-,-,-,5.35E-09,1.95E-03,3.06E-11,15.8857,143.084,3.32E+02,8.22E-09,1.84063,11.315,195983,1.14038,1.58E+02,3.25E-09,0.0299363
Danofloxacin,61.8,357.14887,11.0408,4.26E+02,1.80E-05,1.373,1.01E+00,2.47E-07,280.969,206.791,0.641,0.0052723,-,-,-,-,7.02E-10,1.14E-04,2.39E-11,2.52196,4.74501,3.55E+02,1.53E-09,0.359327,10.3924,481.818,0.601214,1.73E+02,4.14E-08,0.415406
Demeclocycline,36.1,464.09864,0.785236,6.44E+02,6.11E-06,1.784,8.88E-01,2.73E-07,438.855,272.639,0.676,0.0034834,-,-,-,-,2.81E-16,1.09E-03,7.31E-11,1.64014,147.612,3.88E+02,1.28E-11,0.467197,9.45716,566.964,-0.808412,1.85E+02,5.00E-09,0.0031325
Dexamethasone,57,392.1999,12.0504,4.27E+02,4.51E-05,1.318,8.47E-01,1.66E-05,301.986,256.853,0.283,0.0003565,-,-,-,-,1.02E-09,1.05E-04,6.24E-11,2.26177,97.9132,3.91E+02,6.56E-11,0.528342,9.3012,53107.3,1.92005,2.47E+02,3.55E-10,0.0001988
Diclofenac,91.1,295.01668,26.9153,4.10E+02,1.18E-05,1.447,9.05E-01,1.36E-06,225.384,189.082,0.534,0.0008241,-,1.43E+02,6.68E-06,5.51E+01,2.72E-08,1.78E-05,1.37E-11,3.55224,4.67826,3.17E+02,1.57E-10,0.423986,9.29771,5738.4,4.51997,2.34E+02,2.63E-09,6.16E-06
Dicloxacillin,37.8,469.0266,7.2778,5.52E+02,6.14E-06,1.599,4.60E-02,1.38E-07,378.479,239.747,0.014,0.010666,-,-,-,-,3.71E-12,2.93E-05,1.79E-11,24.4638,35.7453,3.35E+02,1.11E-11,0.305902,9.66554,1986.18,2.90886,1.67E+02,1.92E-11,6.50E-06
Digoxigenin,54.3,390.24062,-,4.53E+02,3.86E-05,1.284,7.27E-01,2.23E-05,296.672,251.802,0.495,0.0002291,-,-,-,-,5.72E-11,8.79E-05,3.35E-11,8.1972,162.378,3.90E+02,6.30E-11,0.752134,9.35367,50141.1,1.10403,2.26E+02,2.51E-09,6.21E-05
Diphenhydramine,52,255.16231,143.219,3.19E+02,5.28E-06,1.021,3.09E-01,4.44E-05,157.055,71.938,0.18,0.0039265,39.117,1.41E+02,4.84E-05,1.05E+01,9.29E-06,2.18E-03,1.44E-11,212.401,5.24275,3.14E+02,4.79E-06,2.21599,8.53099,265.128,3.27039,1.68E+02,8.91E-05,0.0006601
